SampID,Treatment,TimeToClear
10000,C,1556.776937
10003,D,825.0062273
10008,A,2674.875595
10017,C,2053.963141
10018,B,2355.740818
10025,D,1069.110886
10030,D,2375.90502
10033,B,1537.835222
10035,A,2393.119336
10040,A,2278.534747
10040,B,2022.800885
10041,C,1660.269509
10045,C,1965.505505
10046,C,2237.550396
10048,A,1736.59552
10048,B,1641.545373
10055,B,2048.341076
10056,A,1704.67258
10063,A,2043.000851
10063,C,1755.832315
10066,C,1781.709798
10067,D,1470.541259
10068,B,1623.570424
10072,A,1781.804231
10074,D,2687.789715
10077,C,2641.086804
10078,A,1777.612079
10080,C,1437.390081
10094,C,2355.56781
10100,A,1435.209351
10102,C,2283.024747
10103,C,1768.305843
10104,D,638.4905063
10108,B,1517.940791
10108,C,2067.662624
10110,B,1761.344752
10112,A,2360.755405
10113,D,2661.216981
10115,B,2354.847682
10115,B,1715.819266
10118,B,2526.995015
10126,C,1785.805496
10127,C,2414.768251
10135,C,1868.23834
10137,B,1447.046232
10137,C,2930.955291
10143,A,1978.97202
10143,D,1534.619922
10145,D,1647.00183
10150,A,1940.297217
10162,B,2425.107483
10165,B,2294.976733
10165,D,2468.087782
10169,C,1473.236969
10172,B,2877.738876
10175,C,2698.195525
10177,A,1148.644892
10178,B,2831.095586
10179,B,2313.9568
10181,A,2031.378002
10181,D,2193.318635
10182,A,2309.537716
10184,C,2302.180317
10185,C,1723.701806
10186,A,2785.701438
10188,C,2544.076855
10194,B,1034.761999
10195,A,1408.127458
10202,B,2157.590744
10202,C,1888.049741
10209,C,2552.336212
10209,D,2157.270246
10210,B,2478.158892
10211,D,1541.404254
10212,D,2464.819515
10214,A,2039.099969
10220,B,2205.514939
10222,C,2476.609147
10228,C,2619.740041
10228,C,1495.047013
10233,A,1613.283979
10233,B,1427.775752
10235,C,2131.890452
10241,B,1557.592599
10245,B,1693.329862
10247,B,1970.311943
10249,D,1443.833665
10251,D,1901.849044
10254,C,2550.093859
10265,D,1756.753042
10272,D,2365.561294
10274,A,1923.875259
10275,D,2038.057756
10278,A,2235.147401
10280,D,1474.093021
10285,B,1826.021944
10286,B,1794.418533
10287,D,1180.520688
10295,B,1471.58401
10299,A,1812.613518
10301,C,3081.835257
10305,C,1656.93597
10307,A,1384.831026
10308,B,1512.963402
10311,B,1921.724575
10315,B,2155.91377
10318,C,2354.114197
10324,B,1169.04311
10333,A,1844.705348
10336,C,2426.994434
10338,A,1528.095844
10338,A,2544.066469
10339,D,1167.948824
10341,A,1473.594957
10346,C,1904.158581
10349,A,1937.727362
10349,C,2368.143974
10355,C,1897.914957
10358,A,2567.510723
10359,C,2256.367241
10366,B,1755.276117
10366,D,3433.386079
10370,D,2374.096422
10375,B,1441.556664
10376,D,3220.765292
