ID,Population_Density,Perc_Housing_Single_Family,Mean_Commute_Time,Percent_Properties_Commercial,Med_Housing_Value,Med_Housing_Year_Constructed,Perc_Housing_Furnace_5_Years,Number_Code_Citations
283560,200.8896189,0.85325453,8.689572792,0.44059837,230009.0613,1927.104272,0.500467236,20.49145797
636937,167.8319305,0.878565564,8.877122258,0.450979458,163896.7964,1932.530587,0.531077324,19.58010124
307963,148.7464644,0.917206784,7.461564922,0.460015887,126650.1994,1936.787276,0.512500881,19.51489276
1230674,215.7239101,0.896746186,7.089736662,0.516713966,174126.4931,1915.431501,0.45080881,26.91312506
1374165,274.5937938,0.895519948,8.188936587,0.47809754,189223.5849,1921.080289,0.512768481,35.43129433
1207047,197.8460348,0.862860766,8.565755366,0.461125183,156726.427,1911.29957,0.463180775,24.98937615
103414,220.7162612,0.896144861,6.768833552,0.490021297,171601.3912,1939.877217,0.559873452,21.30932116
645767,213.0696609,0.915682665,8.09295007,0.487890472,161032.8637,1933.56792,0.524677782,25.30046752
1047672,215.960119,0.929755056,6.584864421,0.483441738,260911.4306,1935.260801,0.539254149,22.7282872
519148,158.4795669,0.930447068,9.163874536,0.459115221,201836.6656,1928.773784,0.501940793,21.62908344
1296431,293.3229853,0.828010211,8.278676782,0.454986522,181548.0361,1934.680713,0.502805628,25.25712282
999213,165.1123975,0.885259987,9.395035806,0.45751986,248579.5432,1935.607127,0.525082928,28.00346069
1302080,214.780179,0.892458259,8.930727382,0.448640672,251433.6378,1928.001735,0.465965877,23.80977842
953532,230.4472748,0.870319476,9.586847508,0.479984241,217371.6818,1938.370777,0.572922885,21.60703623
1221611,196.139741,0.870672192,8.254281273,0.396052986,210922.7131,1953.281018,0.582639805,15.58607282
912279,249.6654473,0.90552159,8.835353501,0.431973333,220137.933,1940.995057,0.54873299,24.4490292
349000,195.0371771,0.893803059,8.607201089,0.464627825,131517.2309,1931.442857,0.549748718,24.30780229
1086929,244.6683424,0.907021272,8.508658395,0.478396314,205136.0532,1937.634113,0.568318894,33.54537221
445703,226.9853957,0.836171785,8.451015947,0.440360172,206180.7554,1919.544649,0.468749222,26.40466422
